member_name,member_party,member_committee,bill_id,bill_name,proposer,proposal_date,committee_name
강경숙,조국혁신당,교육위원회,,,,,
강경숙,조국혁신당,교육위원회,,,,,
강경숙,조국혁신당,교육위원회,,,,,
강경숙,조국혁신당,교육위원회,,,,,
강경숙,조국혁신당,교육위원회,,,,,
강경숙,조국혁신당,교육위원회,,,,,
강경숙,조국혁신당,교육위원회,,,,,
강경숙,조국혁신당,교육위원회,,,,,
강경숙,조국혁신당,교육위원회,,,,,
강경숙,조국혁신당,교육위원회,,,,,
강경숙,조국혁신당,교육위원회,,,,,
강경숙,조국혁신당,교육위원회,,,,,
강경숙,조국혁신당,교육위원회,,,,,
강경숙,조국혁신당,교육위원회,,,,,
강경숙,조국혁신당,교육위원회,,,,,
강경숙,조국혁신당,교육위원회,,,,,
강경숙,조국혁신당,교육위원회,,,,,
강경숙,조국혁신당,교육위원회,,,,,
강경숙,조국혁신당,교육위원회,,,,,
강경숙,조국혁신당,교육위원회,,,,,
